"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","FOOTPRINT10","FOOTPRINT11","FOOTPRINT12","FOOTPRINT13","FOOTPRINT14","FOOTPRINT15","FOOTPRINT16","CODE_IPC","CODE_JEDEC","COMMENT","COMMON ANODE","COMPONENTAVAILABILITY","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPTYPE","DATASHEETVERSION","FOOTPRINT","IC_TECHNOLOGY","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER","NOTE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGETOPMARKING","PACKAGEVERSION","PARTNUMBER","PINCOUNT","POWERWISE","PUBLISHED","PUBLISHER","ROHS","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"24C1024","DIP8","TSSOP8","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","2-Wire Serial EEPROM"
"24CXX","DIP8","TSSOP8","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","2-Wire Serial EEPROM"
"24CXXX","DIP8","TSSOP8","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","2-Wire Serial EEPROM"
"4078","DIP14","","","","","","","","","","","","","","","","","","4078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","8-Input NOR/OR Gate"
"4N37","DIP6","","","","","","","","","","","","","","","","","","4N37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","General Purpose Type Photocoupler"
"7-segment-2-digit","0.52-inch-2-digit-ssd","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*","2 Digit Seven Segment"
"7400","DIP14","","","","","","","","","","","","","","","","","","7400","","","Manufacturer Link","http://www.fairchildsemi.com/","Datasheet","http://www.fairchildsemi.com/ds/DM%2FDM74AS00.pdf","","","","Feb-1998","","AS","29-May-2009","Component Body Added.","","","DIP, 14-Pin, Row Spacing 7.62 mm, Pitch 2.54 mm","N14A","","2000","","","","17-Jul-2002","Altium Limited","","","","","U?","Quad 2-Input NAND Gate, 14-Pin PDIP"
"7402","DIP14","DIP14","","","","","","","","","","","","","","","","","7402","","","Manufacturer Link","http://www.fairchildsemi.com/","Datasheet","http://www.fairchildsemi.com/ds/DM%2FDM74ALS02.pdf","","","","Feb-1998","","ALS","29-May-2009","Component Body Added.","","","DIP, 14-Pin, Row Spacing 7.62 mm, Pitch 2.54 mm","N14A","","2000","","","","17-Jul-2002","Altium Limited","","","","","U?","Quad 2-Input NOR Gate, 14-Pin PDIP"
"7404","DIP14","","","","","","","","","","","","","","","","","","7404","","","Manufacturer Link","http://www.fairchildsemi.com/","Datasheet","http://www.fairchildsemi.com/ds/DM%2FDM74AS04.pdf","","","","Feb-1998","","AS","29-May-2009","Component Body Added.","","","DIP, 14-Pin, Row Spacing 7.62 mm, Pitch 2.54 mm","N14A","","2000","","","","17-Jul-2002","Altium Limited","","","","","U?","Hex Inverter, 14-Pin PDIP"
"74266","DIP14","","","","","","","","","","","","","","","","","","74266","","","Manufacturer Link","http://www.fairchildsemi.com/","","","","","","Apr-1998","","LS","29-May-2009","Component Body Added.","","","DIP, 14-Pin, Row Spacing 7.62 mm, Pitch 2.54 mm","N14A","","2000","","","","17-Jul-2002","Altium Limited","","","","","U?","Quad 2-Input XNOR Gate with Open-Collector Output, 14-Pin PDIP"
