"LIBRARYREFERENCE","FOOTPRINT1","CODE_JEDEC","CODE_JEITA","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","DATASHEETVERSION","LATESTREVISIONDATE","LATESTREVISIONNOTE","NOTE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PUBLISHED","PUBLISHER","SHEETPART","DESIGNATOR","DESCRIPTION"
"2N3904","SOT54","","","2N3904","Manufacturer Link","http://www.fairchildsemi.com/","Datasheet","http://www.fairchildsemi.com/ds/2N%2F2N3904.pdf","1997","15-Jan-2003","PCB Footprint 'BCY-W3/D4.7' replaced","","TO, Flat Index; 3 In-Line, Axial Leads; Body Dia. 4.5mm; Leads 0.51 x 0.48 mm (max)","TO-92A","Sep-1998","8-Jun-2000","Altium Limited","","Q?","NPN General Purpose Amplifier"
"2N7002","SOT-23","","","*","","","","","","","","","","","","","","*","Q?","N-Channel Enhancement Mode Field Effect Transistor"
"2SD1047","TO-3P","","","2SD1047","Manufacturer Link","http://www.fairchildsemi.com/","Datasheet","http://www.fairchildsemi.com/ds/2N%2F2N3904.pdf","1997","15-Jan-2003","PCB Footprint 'BCY-W3/D4.7' replaced","","TO, Flat Index; 3 In-Line, Axial Leads; Body Dia. 4.5mm; Leads 0.51 x 0.48 mm (max)","TO-92A","Sep-1998","8-Jun-2000","Altium Limited","","Q?","NPN General Purpose Amplifier"
"BC546","SOT54","TO-92","SC-43","BC546","Manufacturer Link","http://www.semiconductors.philips.com/","Datasheet","http://www.semiconductors.philips.com/acrobat/datasheets/BC546_547_3.pdf","15-Apr-1999","12-Dec-2006","Footprint pad sequence fixed.","","Plastic Single-Ended Leaded (through hole) package; 3 Leads (TO-92)","SOT54","Feb-1997","17-Sep-2003","Altium Limited","","Q?","NPN General-purpose Transistor"
"BC547","SOT54","TO-92","SC-43","","Manufacturer Link","http://www.semiconductors.philips.com/","Datasheet","http://www.semiconductors.philips.com/acrobat/datasheets/BC546_547_3.pdf","15-Apr-1999","12-Dec-2006","Footprint pad sequence fixed.","","Plastic Single-Ended Leaded (through hole) package; 3 Leads (TO-92)","SOT54","Feb-1997","17-Sep-2003","Altium Limited","","Q?","NPN General-purpose Transistor"
"BC548","SOT54","TO-92","SC-43","BC548","Manufacturer Link","http://www.semiconductors.philips.com/","Datasheet","http://www.semiconductors.philips.com/acrobat/datasheets/BC546_547_3.pdf","15-Apr-1999","12-Dec-2006","Footprint pad sequence fixed.","","Plastic Single-Ended Leaded (through hole) package; 3 Leads (TO-92)","SOT54","Feb-1997","17-Sep-2003","Altium Limited","","Q?","NPN General-purpose Transistor"
"BC557","SOT54","TO-92","SC-43","","Manufacturer Link","http://www.semiconductors.philips.com/","Datasheet","http://www.semiconductors.philips.com/acrobat/datasheets/BC556_557_3.pdf","15-Apr-1999","12-Dec-2006","Footprint pad sequence fixed.","","Plastic Single-Ended Leaded (through hole) package; 3 Leads (TO-92)","SOT54","Feb-1997","17-Sep-2003","Altium Limited","","Q?","PNP General-purpose Transistor"
"BCP69T1G","SOT223-4L","","","*","","","","","","","","","","","","","","*","Q?","PNP Silicon Epitaxial Transistor"
"BSS138","SOT-23","","","*","","","","","","","","","","","","","","*","Q?","N-Channel Logic Level Enhancement Mode Field Effect Transistor"
"C945","SOT54","TO-92","SC-43","C945","Manufacturer Link","http://www.semiconductors.philips.com/","Datasheet","http://www.semiconductors.philips.com/acrobat/datasheets/BC546_547_3.pdf","15-Apr-1999","12-Dec-2006","Footprint pad sequence fixed.","","Plastic Single-Ended Leaded (through hole) package; 3 Leads (TO-92)","SOT54","Feb-1997","17-Sep-2003","Altium Limited","","Q?","NPN General-purpose Transistor"
